iddep;idreg;nomdep;superfidep;nbrvildep
CIV010001;CIV0100;ABIDJAN;2153;136
CIV020001;CIV0200;ATTIEGOUAKRO;864;31
CIV020002;CIV0200;YAMOUSSOUKRO;1268;43
CIV030101;CIV0301;FRESCO;2014;17
CIV030102;CIV0301;SASSANDRA;4136;87
CIV030201;CIV0302;BUYO;2149;22
CIV030202;CIV0302;GUEYO ;746;30
CIV030203;CIV0302;MEAGUI;1393;42
CIV030204;CIV0302;SOUBRE;8892;112
CIV030301;CIV0303;SAN-PEDRO;6876;123
CIV030302;CIV0303;TABOU;5420;130
CIV040101;CIV0401;ABENGOUROU;4047;71
CIV040102;CIV0401;AGNIBILEKROU;1786;53
CIV040103;CIV0401;BETTIE;1036;22
CIV040201;CIV0402;ABOISSO;4199;81
CIV040202;CIV0402;ADIAKE;858;51
CIV040203;CIV0402;GRAND BASSAM;923;35
CIV040204;CIV0402;TIAPOUM;827;35
CIV050101;CIV0501;KANIASSO;3539;45
CIV050102;CIV0501;MINIGNAN;3299;39
CIV050201;CIV0502;GBELEBAN;2063;27
CIV050202;CIV0502;MADINANI;5348;28
CIV050203;CIV0502;ODIENNE;8081;66
CIV050204;CIV0502;SAMATIGUILA;769;14
CIV050205;CIV0502;SEGUELON;2207;22
CIV060101;CIV0601;GAGNOA;4782;164
CIV060102;CIV0601;OUME;2283;44
CIV060201;CIV0602;DIVO;3576;95
CIV060202;CIV0602;GUITRY;2460;46
CIV060203;CIV0602;LAKOTA;2710;92
CIV070101;CIV0701;DIDIEVI;1716;92
CIV070102;CIV0701;DJEKANOU;395;18
CIV070103;CIV0701;TIEBISSOU;2320;98
CIV070104;CIV0701;TOUMODI;2691;73
CIV070201;CIV0702;DAOUKRO;3169;60
CIV070202;CIV0702;M'BAHIAKRO;2509;66
CIV070203;CIV0702;PRIKRO;2531;73
CIV070204;CIV0702;OUELLE;729;22
CIV070301;CIV0703;ARRAH;1545;19
CIV070302;CIV0703;BONGOUANOU;1561;44
CIV070303;CIV0703;M'BATTO;2398;55
CIV070401;CIV0704;BOCANDA;3243;104
CIV070402;CIV0704;DIMBOKRO;1527;74
CIV070403;CIV0704;KOUASSI-KOUASSIKRO;684;31
CIV080101;CIV0801;AGBOVILLE;3996;93
CIV080102;CIV0801;SIKENSI;769;14
CIV080103;CIV0801;TAABO ;938;21
CIV080104;CIV0801;TIASSALE;3387;55
CIV080201;CIV0802;DABOU;1463;41
CIV080202;CIV0802;GRAND-LAHOU;2281;56
CIV080203;CIV0802;JACQUEVILLE;700;41
CIV080301;CIV0803;ADZOPE;2028;36
CIV080302;CIV0803;AKOUPE;1729;17
CIV080303;CIV0803;ALEPE;2967;47
CIV080304;CIV0803;YAKASSE-ATTOBROU;1729;14
CIV090101;CIV0901;BLOLEQUIN;2885;31
CIV090102;CIV0901;GUIGLO;7564;31
CIV090103;CIV0901;TAI;4339;21
CIV090104;CIV0901;TOULEPLEU;845;57
CIV090201;CIV0902;BANGOLO;2306;84
CIV090202;CIV0902;DUEKOUE;3029;47
CIV090203;CIV0902;FACOBLY;1052;40
CIV090204;CIV0902;KOUIBLY;2084;51
CIV090301;CIV0903;BIANKOUMA;5027;111
CIV090302;CIV0903;DANANE;3280;186
CIV090303;CIV0903;MAN;2582;150
CIV090304;CIV0903;SIPILOU;1106;18
CIV090305;CIV0903;ZOUAN HOUNIEN;1361;150
CIV100101;CIV1001;BOUAFLE;3359;72
CIV100102;CIV1001;SINFRA;1609;41
CIV100103;CIV1001;ZUENOULA;2540;100
CIV100104;CIV1001;BONON;775;7
CIV100105;CIV1001;GOHITAFLA;329;22
CIV100201;CIV1002;DALOA;3798;111
CIV100202;CIV1002;ISSIA;3410;125
CIV100203;CIV1002;VAVOUA;6367;72
CIV100204;CIV1002;ZOUKOUGBEU;1590;40
CIV110101;CIV1101;BOUNDIALI;4370;66
CIV110102;CIV1101;KOUTO;3485;47
CIV110103;CIV1101;TENGRELA;2308;49
CIV110201;CIV1102;DIKODOUGOU;2472;53
CIV110202;CIV1102;KORHOGO;9634;481
CIV110203;CIV1102;M'BENGUE;2656;54
CIV110204;CIV1102;SINEMATIALI;510;150
CIV110301;CIV1103;FERKESSEDOUGOU;12788;74
CIV110302;CIV1103;KONG;8874;70
CIV110303;CIV1103;OUANGOLODOUGOU;4466;61
CIV120101;CIV1201;BEOUMI;2541;148
CIV120102;CIV1201;BOTRO;1262;100
CIV120103;CIV1201;BOUAKE;3429;271
CIV120104;CIV1201;SAKASSOU;1693;127
CIV120201;CIV1202;DABAKALA;9996;214
CIV120202;CIV1202;KATIOLA;2786;30
CIV120203;CIV1202;NIAKARAMADOUGOU;6730;61
CIV130101;CIV1301;KORO;3118;96
CIV130102;CIV1301;OUANINOU;2308;96
CIV130103;CIV1301;TOUBA;3365;103
CIV130201;CIV1302;DIANRA;3122;42
CIV130202;CIV1302;KOUNAHIRI;1801;50
CIV130203;CIV1302;MANKONO;9217;124
CIV130301;CIV1303;KANI;4888;46
CIV130302;CIV1303;SEGUELA;6602;167
CIV140101;CIV1401;BOUNA;11379;287
CIV140102;CIV1401;DOROPO;5015;245
CIV140103;CIV1401;NASSIAN;2581;44
CIV140104;CIV1401;TEHINI;2842;95
CIV140201;CIV1402;BONDOUKOU;7209;180
CIV140202;CIV1402;KOUN-FAO;3612;105
CIV140203;CIV1402;SANDEGUE;2715;35
CIV140204;CIV1402;TANDA;1562;76
CIV140205;CIV1402;TRANSUA;1188;71