iddist;cheflieudist;superfidist;nomdist;idpay;nbrvilldist
CIV01;ABIDJAN;584;DISTRICT AUTONOME D'ABIDJAN;CIV;136
CIV02;YAMOUSSOUKRO;2132;DISTRICT AUTONOME DE YAMOUSSOUKRO;CIV;74
CIV03;SAN-PEDRO;28086;BAS-SASSANDRA;CIV;563
CIV04;ABENGOUROU;13675;COMOE;CIV;348
CIV05;ODIENNE;21036;DENGUELE;CIV;241
CIV06;GAGNOA;15812;GOH-DJIBOUA;CIV;441
CIV07;DIMBOKRO;28070;LACS;CIV;829
CIV08;DABOU;23028;LAGUNES;CIV;434
CIV09;MAN;30963;MONTAGNES;CIV;977
CIV10;DALOA;23777;SASSANDRA-MARAHOUE;CIV;590
CIV11;KORHOGO;40036;SAVANES;CIV;1103
CIV12;BOUAKE;28438;VALLEE DU BANDAMA;CIV;951
CIV13;SEGUELA;31299;WOROBA;CIV;724
CIV14;BONDOUKOU;38102;ZANZAN;CIV;1137