code;nompay;capipolipay;capiecopay;superficipay;Contipay;indictelpay
AFG;AFGHANISTAN;Kabul;;652864;Asie;93
ZAF;AFRIQUE DU SUD;Pretoria;;1221037;Afrique;27
ALB;ALBANIE;Tirana;;28748;Europe;355
DZA;ALGÉRIE;Alger;;2381741;Afrique;213
DEU;ALLEMAGNE;Berlin;;357386;Europe;49
AND;ANDORRE;Andorre-la-Vieille;;468;Europe;376
AGO;ANGOLA;Luanda;;1246700;Afrique;244
AIA;ANGUILLA;The Valley;;91;Amérique;1264
ATG;ANTIGUA-ET-BARBUDA;Saint John;;442;Amérique;268
SAU;ARABIE SAOUDITE;Riyad;;2206714;Asie;966
ARG;ARGENTINE;Buenos Aires;;2780400;Amérique;54
ARM;ARMÉNIE;Yerevan;;29743;Asie;374
ABW;ARUBA;Oranjestad;;180;Amérique;297
AUS;AUSTRALIE;Canberra;;7692024;Océanie;61
AUT;AUTRICHE;Vienne;;83882;Europe;43
AZE;AZERBAÏDJAN;Bakou;;86600;Asie - Europe;994
BHS;BAHAMAS;Nassau;;13940;Amérique;1242
BHR;BAHREÏN;Manama;;778;Asie;973
BGD;BANGLADESH;Dacca;;147570;Asie;880
BRB;BARBADE;Bridgetown;;431;Amérique;1246
BEL;BELGIQUE;Bruxelles;;30528;Europe;32
BLZ;BELIZE;Belmopan;;22965;Amérique;501
BEN;BÉNIN;Porto Novo;;114763;Afrique;229
BMU;BERMUDES;Hamilton;;54;Amérique;1441
BTN;BHOUTAN;Thimphu;;38394;Asie;975
BLR;BIÉLORUSSIE;Minsk;;207600;Europe;375
MMR;BIRMANIE;Naypyidaw;;676553;Asie;95
BOL;BOLIVIE;Sucre;;1098581;Amérique;591
BIH;BOSNIE-HERZÉGOVINE;Sarajevo;;51209;Europe;387
BWA;BOTSWANA;Gaborone;;582000;Afrique;267
BRA;BRÉSIL;Brasilia;;8515767;Amérique;55
BRN;BRUNEI;Bandar Seri Begawan;;5765;Asie;673
BGR;BULGARIE;Sofia;;110372;Europe;359
BFA;BURKINA FASO;Ouagadougou;;272967;Afrique;226
BDI;BURUNDI;Bujumbura;;27834;Afrique;257
KHM;CAMBODGE;Phnom Penh;;181035;Asie;855
CMR;CAMEROUN;Yaounde;;475650;Afrique;237
CAN;CANADA;Ottawa;;9984670;Amérique;1
CPV;CAP-VERT;Praia;;4033;Afrique;238
CHL;CHILI;Santiago;;756102;Amérique;56
CHN;CHINE;Pékin;;9600000;Asie;86
CYP;CHYPRE;Nicosie;;9251;Europe;357
COL;COLOMBIE;Bogota;;1141748;Amérique;57
COM;COMORES;Moroni;;2235;Afrique;269
PRK;CORÉE DU NORD;Pyongyang;;120538;Asie;850
KOR;CORÉE DU SUD;Séoul;;100339;Asie;82
CRI;COSTA RICA;San José;;51100;Amérique;506
CIV;CÔTE D'IVOIRE;Yamoussoukro;Abidjan;322462;Afrique;225
HRV;CROATIE;Zagreb;;56594;Europe;385
CUB;CUBA;La Havane;;109884;Amérique;53
DNK;DANEMARK;Copenhague;;42921;Europe;45
DJI;DJIBOUTI;Djibouti;;23200;Afrique;253
DMA;DOMINIQUE;Roseau;;750;Amérique;1767
EGY;ÉGYPTE;Le Caire;;1002000;Afrique - Asie;20
ARE;ÉMIRATS ARABES UNIS;Abu Dhabi;;71024;Asie;971
ECU;ÉQUATEUR;Quito;;257217;Amérique;593
ERI;ÉRYTHRÉE;Asmara;;117600;Afrique;291
ESP;ESPAGNE;Madrid;;505944;Europe;349
EST;ESTONIE;Tallinn;;45227;Europe;372
FSM;ÉTATS FÉDÉRÉS DE MICRONÉSIE;Palikir;;702;Océanie;691
USA;ÉTATS-UNIS;Washington;;9833517;Amérique;1
ETH;ÉTHIOPIE;Addis-Abeba;;1104300;Afrique;251
FJI;FIDJI;Suva;;18272;Océanie;679
FIN;FINLANDE;Helsinki;;336861;Europe;358
FRA;FRANCE;Paris;;672051;Europe;33
GAB;GABON;Libreville;;267668;Afrique;241
GMB;GAMBIE;Banjul;;11295;Afrique;220
GEO;GÉORGIE;Tbilisi;;69700;Europe - Asie;995
GHA;GHANA;Accra;;238537;Afrique;233
GIB;GIBRALTAR;Gibraltar;;6;Afrique;350
GRC;GRÈCE;Athènes;;131957;Europe;30
GRD;GRENADE;Saint-Georges;;345;Amérique;1473
GRL;GROENLAND;Nuuk;;2166086;Amérique;299
GUM;GUAM;Hagatna;;541;Océanie;671
GTM;GUATEMALA;Guatemala;;108889;Amérique;502
GIN;GUINÉE;Conakry;;245836;Afrique;224
GNQ;GUINÉE ÉQUATORIALE;Malabo;;28051;Afrique;240
GNB;GUINÉE-BISSAU;Bissau;;36125;Afrique;245
GUY;GUYANA;Georgetown;;214969;Amérique;592
HTI;HAÏTI;Port-au-Prince;;27750;Amérique;509
HND;HONDURAS;Tegucigalpa;;112492;Amérique;504
HUN;HONGRIE;Budapest;;93022;Europe;36
IMN;ÎLE DE MAN;Douglas;;572;Europe;44
CYM;ÎLES CAÏMANS;George Town;;264;Amérique;1345
COK;ÎLES COOK;Avarua;;236;Océanie;682
FRO;ÎLES FÉROÉ;Torshavn;;1393;Europe;298
MNP;ÎLES MARIANNES DU NORD;Saipan;;457;Océanie;1670
MHL;ÎLES MARSHALL;Majuro;;181;Océanie;692
PCN;ÎLES PITCAIRN;Adamstown;;47;Océanie;870
SLB;ÎLES SALOMON;Honiara;;28896;Océanie;677
TCA;ÎLES TURKS ET CAÏQUES;Cockburn Town;;948;Amérique;1649
VGB;ÎLES VIERGES BRITANNIQUES;Road Town;;151;Amérique;1284
VIR;ÎLES VIERGES DES ÉTATS-UNIS;Charlotte Amalie;;347;Amérique;1340
IND;INDE;New Delhi;;3287263;Asie;91
IDN;INDONÉSIE;Jakarta;;1910931;Asie;62
IRQ;IRAK;Bagdad;;435052;Asie;964
IRN;IRAN;Téhéran;;1628750;Asie;98
IRL;IRLANDE;Dublin;;69825;Europe;353
ISL;ISLANDE;Reykjavik;;103000;Europe;354
ISR;ISRAËL;Jérusalem;;22072;Asie;972
ITA;ITALIE;Rome;;302073;Europe;390
JAM;JAMAÏQUE;Kingston;;10991;Amérique;1876
JPN;JAPON;Tokyo;;377930;Asie;81
JOR;JORDANIE;Amman;;89318;Asie;962
KAZ;KAZAKHSTAN;Astana;;2724902;Asie - Europe;7
KEN;KENYA;Nairobi;;591958;Afrique;254
KGZ;KIRGHIZISTAN;Bishkek;;199949;Asie;996
KIR;KIRIBATI;Tarawa Sud;;726;Océanie;686
KWT;KOWEÏT;Koweït;;17818;Asie;965
LAO;LAOS;Vientiane;;236800;Asie;856
LSO;LESOTHO;Maseru;;30355;Afrique;266
LVA;LETTONIE;Riga;;64573;Europe;371
LBN;LIBAN;Beyrouth;;10452;Asie;961
LBR;LIBÉRIA;Monrovia;;111369;Afrique;231
LBY;LIBYE;Tripoli;;1676198;Afrique;218
LIE;LIECHTENSTEIN;Vaduz;;160;Europe;423
LTU;LITUANIE;Vilnius;;65286;Europe;370
LUX;LUXEMBOURG;Luxembourg;;2586;Europe;352
MKD;MACÉDOINE DU NORD;Skopje;;25713;Europe;389
MDG;MADAGASCAR;Antananarivo;;587295;Afrique;261
MYS;MALAISIE;Kuala Lumpur;;330345;Asie;60
MWI;MALAWI;Lilongwe;;117726;Afrique;265
MDV;MALDIVES;Malé;;300;Asie;960
MLI;MALI;Bamako;;1240192;Afrique;223
MLT;MALTE;La Valette;;315;Europe;356
MAR;MAROC;Rabat;;446550;Afrique;212
MUS;MAURICE;Port-Louis;;1979;Afrique;230
MRT;MAURITANIE;Nouakchott;;1030700;Afrique;222
MEX;MEXIQUE;Mexico;;1964375;Amérique;52
MDA;MOLDAVIE;Chisinau;;33847;Europe;373
MCO;MONACO;Monaco;;2;Europe;377
MNG;MONGOLIE;Oulan-Bator;;1564116;Asie;976
MNE;MONTÉNÉGRO;Podgorica;;13888;Europe;382
MSR;MONTSERRAT;Plymouth;;103;Amérique;1664
MOZ;MOZAMBIQUE;Maputo;;799380;Afrique;258
NAM;NAMIBIE;Windhoek;;824116;Afrique;264
NRU;NAURU;Yaren;;21;Océanie;674
NPL;NÉPAL;Katmandou;;147181;Asie;977
NIC;NICARAGUA;Managua;;130373;Amérique;505
NER;NIGER;Niamey;;1267000;Afrique;227
NGA;NIGÉRIA;Abuja;;923768;Afrique;234
NIU;NIUÉ;Alofi;;260;Océanie;683
NOR;NORVÈGE;Oslo;;323772;Europe;47
NZL;NOUVELLE-ZÉLANDE;Wellington;;268107;Océanie;64
OMN;OMAN;Mascate;;309500;Asie;968
UGA;OUGANDA;Kampala;;241550;Afrique;256
UZB;OUZBÉKISTAN;Tachkent;;448969;Asie;7
PAK;PAKISTAN;Islamabad;;796095;Afrique;92
PLW;PALAOS;Melekeok;;459;Océanie;680
PAN;PANAMA;Panama;;75320;Amérique;507
PNG;PAPOUASIE-NOUVELLE-GUINÉE;Port Moresby;;462840;Océanie;675
PRY;PARAGUAY;Asuncion;;406752;Amérique;595
NLD;PAYS-BAS;Amsterdam;;41542;Europe;31
PER;PÉROU;Lima;;1285216;Amérique;51
PHL;PHILIPPINES;Manille;;300000;Asie;63
POL;POLOGNE;Varsovie;;312679;Europe;48
PRI;PORTO RICO;San Juan;;8868;Amérique;
PRT;PORTUGAL;Lisbonne;;92226;Europe;351
QAT;QATAR;Doha;;11637;Asie;974
CAF;RÉPUBLIQUE CENTRAFRICAINE;Bangui;;622984;Afrique;236
COD;RÉPUBLIQUE DÉMOCRATIQUE DU CONGO;Kinshasa;;2344858;Afrique;243
DOM;RÉPUBLIQUE DOMINICAINE;Saint-Domingue;;48671;Amérique;
COG;RÉPUBLIQUE DU CONGO;Brazzaville;;342000;Afrique;242
CZE;RÉPUBLIQUE TCHÈQUE;Prague;;78870;Europe;420
ROU;ROUMANIE;Bucarest;;238391;Europe;40
GBR;ROYAUME-UNI;Londres;;242495;Europe;44
RUS;RUSSIE;Moscou;;17098246;Asie - Europe;7
RWA;RWANDA;Kigali;;26338;Afrique;250
LCA;SAINTE-LUCIE;Castries;;616;Amérique;1758
SMR;SAINT-MARIN;Ville de Saint-Marin;;61;Europe;378
VCT;SAINT-VINCENT-ET-LES-GRENADINES;Kingstown;;389;Amérique;1784
SLV;SALVADOR;San Salvador;;21041;Amérique;503
WSM;SAMOA;Apia;;2842;Océanie;685
ASM;SAMOA AMÉRICAINES;Pago Pago;;199;Océanie;684
STP;SAO TOMÉ-ET-PRINCIPE;Sao Tomé;;964;Afrique;239
SEN;SÉNÉGAL;Dakar;;196712;Afrique;221
SRB;SERBIE;Belgrade;;88499;Europe;381
SYC;SEYCHELLES;Victoria;;457;Afrique;248
SLE;SIERRA LEONE;Freetown;;72300;Afrique;232
SGP;SINGAPOUR;Singapour;;729;Asie;65
SVK;SLOVAQUIE;Bratislava;;49035;Europe;421
SVN;SLOVÉNIE;Ljubljana;;20273;Europe;386
SOM;SOMALIE;Mogadiscio;;637657;Afrique;252
SDN;SOUDAN;Khartoum;;1861484;Afrique;249
LKA;SRI LANKA;Colombo;;65610;Asie;94
SWE;SUÈDE;Stockholm;;438574;Europe;46
CHE;SUISSE;Berne;;41291;Europe;41
SUR;SURINAME;Paramaribo;;163820;Amérique;597
SJM;SVALBARD ET JAN MAYEN;Longyearbyen;;62422;Europe;47
SYR;SYRIE;Damas;;185180;Asie;963
TJK;TADJIKISTAN;Douchanbé;;142600;Asie;992
TZA;TANZANIE;Dodoma;;947303;Afrique;255
TCD;TCHAD;N'Djaména;;1284000;Afrique;235
THA;THAÏLANDE;Bangkok;;513120;Asie;66
TLS;TIMOR ORIENTAL;Dili;;14919;Asie;670
TGO;TOGO;Lomé;;56785;Afrique;228
TON;TONGA;Nuku'alofa;;747;Océanie;676
TTO;TRINITÉ-ET-TOBAGO;Port-d'Espagne;;5127;Amérique;1868
TUN;TUNISIE;Tunis;;163610;Afrique;216
TKM;TURKMÉNISTAN;Achgabat;;488100;Asie;993
TUR;TURQUIE;Ankara;;780004;Asie - Europe;90
TUV;TUVALU;Funafuti;;26;Océanie;688
UKR;UKRAINE;Kiev;;603500;Europe;380
URY;URUGUAY;Montevideo;;173626;Amérique;598
VUT;VANUATU;Port-Vila;;12189;Océanie;678
VAT;VATICAN;Le Vatican;;0;Europe;39
VEN;VENEZUELA;Caracas;;912050;Amérique;58
VNM;VIET NAM;Hanoï;;330967;Asie;84
YEM;YÉMEN;Sanaa;;527968;Asie;967
ZMB;ZAMBIE;Lusaka;;752612;Afrique;260
ZWE;ZIMBABWE;Harare;;390757;Afrique;263